soa_term,soa_description,agentic_term,agentic_description
Service Composition,"Combining multiple services to create higher-level business functionality, so a complete process can be assembled from parts built independently.",Agent Assembly (or Agent Build),"Combining multiple agents to create complex autonomous systems and workflows, assembling specialists into something that completes an end-to-end process."
Loose Coupling,"Services are designed to have minimal dependencies on each other, so one can change or fail without forcing changes elsewhere.",Agent Autonomy,"Agents operate independently with minimal dependencies, making autonomous decisions within their granted scope rather than waiting on a controller for every step."
Service Granularity,"The level of functionality encapsulated within a single service, and the trade-off between many small services and fewer larger ones.",Agent Scope,"The breadth and depth of responsibilities assigned to a specific agent, which determines both what it can accomplish alone and how much of the system its failures reach."
Statelessness,"A design preference that services not retain client state between calls, so any instance can serve any request.",Session State Boundary,An explicit definition of what an agent retains in operational memory between interactions and what it deliberately discards — since useful agents often need memory rather than none.
Idempotency,"A property ensuring repeated calls produce the same effect as a single call, making retries safe after a timeout or partial failure.",Idempotent Action,"A property ensuring a repeated agent action produces the same effect as a single execution, which matters more here because retries are often decided autonomously."
Circuit Breaker,"A resilience pattern that halts calls to a failing service to prevent cascading failure, resuming only once it recovers.",Agent Fallback Protocol,"A resilience pattern that halts delegation to a failing or underperforming agent and reroutes to a fallback agent or human escalation, rather than simply stopping."
Event-Driven Architecture,"Architecture where services respond to and produce events for loose coupling, with producers unaware of which consumers will react.",Agent Triggers,"Event-based activation mechanisms that prompt agents to take specific actions, so work begins when a condition is met rather than when someone invokes it."
Message Exchange,"Structured communication patterns between services, defining request/response, publish/subscribe, and the message shapes each side expects.",Agent Communication Protocol (ACP),"Standardized methods for agents to exchange information and coordinate actions, covering not just message format but how intent, context, and results are conveyed."
Service Integration Protocol,"Standard protocols for web service communication and data exchange, such as SOAP and REST over HTTP.",Agent Integration Protocol (AIP),"Standardized interfaces and protocols for agent communication and integration, so agents built on different platforms work together without bespoke adapters."
Interoperability,"Ability of different systems and services to work together effectively, across vendors, platforms, and data formats.",Cross-Agent Standards,"Protocols and standards enabling agents from different systems to collaborate, so a multi-agent workflow is not confined to one vendor's runtime."
Enterprise Integration Patterns (EIP),"Standard patterns for integrating enterprise applications and services — named solutions to recurring routing, transformation, and messaging problems.",Agent Patterns,"Reusable design patterns for agent interaction, coordination, and integration, giving teams a shared name for structures they would otherwise reinvent."
Canonical Data Model,"A shared, standardized data schema used across services to avoid point-to-point translation between every pair of systems.",Canonical Context Model,"A shared, standardized schema for context entities so agents interpret the same situational data consistently across an enterprise, rather than each holding its own view."
Service Consumer / Provider,The two parties in a service interaction: the caller and the service being called.,Requester / Fulfilling Agent,"The two parties in an agent-fulfilled intent: whoever originates the request — a person, another agent, or an orchestrator — and whichever agent fulfills it."
Service Versioning,"Managing multiple concurrent versions of a service interface as it evolves, so existing consumers keep working while new ones adopt the change.",Skill Versioning,"Managing multiple concurrent versions of an agent's skill set or behavior as it evolves through feedback and memory updates, so changes are traceable rather than silent."
Service Virtualization,"Creating virtual representations of services for testing and development, so teams can build against dependencies that are unavailable or costly to call.",Agent Virtualization,"Creating test agents by abstracting real-world conditions for testing, training, and development purposes, so behavior can be exercised safely before it touches production work."
SLA (Service Level Agreement),"Service Level Agreement defining performance, availability, and quality metrics, and what happens when they are not met.",Agent QoS,"Quality of Service metrics defining agent performance, reliability, and response standards, including accuracy and escalation rates alongside latency and uptime."
Service Level Objective (SLO),"An internal target metric that supports meeting an external SLA, set tighter than the commitment to leave room to recover.",Agent Performance Objective,"An internal target metric supporting an agent's external QoS commitments, tracked continuously so degradation is caught before it breaches the commitment."
Governance,"Policies, processes, and controls for managing services throughout their lifecycle, from approval and deployment to retirement.",Agentic Governance,"Framework for managing agent behavior, compliance, ethics, and lifecycle management, including audit trails, human oversight, and accountability for autonomous decisions."
